Data do Pagamento,Tipo Produto,Nome,WhatsApp,Quantidade de vezes,Valor parcela,Vendedor,Comentarios
20/01/25,Completa,Daniela Campos Pereira Xavier Krause Lopes,(55) 99234-5678,6," R$        611,01",Gustavo,
22/01/25,Completa,Gabriel Yamada Pereira Vieira,(61) 99345-6789,12," R$   1.210,11",Gustavo,
22/01/25,Completa,Marcos Xavier Zanetti Ibrahim,(62) 99456-7890,12," R$   1.243,70",Gustavo,
23/01/25,Completa,Patrícia Nogueira Ferreira Wanderley Zanetti Ibrahim,(63) 99567-8901,18," R$   1.823,48",Gustavo,
23/01/25,Completa,Fernanda Xavier Gomes Teixeira Pereira,(64) 99678-9012,6," R$        613,27",Gustavo,
24/01/25,Completa,Helena Yamada Krause Ferreira,(65) 99789-0123,12," R$   1.242,25",Fernanda,
24/01/25,Completa,Patrícia Silva Souza Jardim,(66) 99890-1234,18," R$   1.844,80",Gustavo,
24/01/25,Completa,Helena Pereira Vieira Silva Uchoa Krause,(67) 99111-2222,18," R$   1.829,48",Gustavo,
24/01/25,Completa,Fernanda Almeida Pereira Vieira,(68) 99222-3333,12," R$   1.240,22",Gustavo,
24/01/25,Completa,Ana Ferreira Gomes Machado Vieira Zanetti,(47) 99444-4444,18," R$   1.820,87",Fernanda,
24/01/25,Completa,Carlos Jardim Rodrigues Lopes Pereira,(48) 99555-5555,6," R$        640,12",Gustavo,
24/01/25,Completa,Vanessa Cardoso Souza Barros Costa Dias,(49) 99666-6666,6," R$        645,59",Gustavo,
25/01/25,Completa,Bruno Ferreira Yamada Oliveira Gomes Wanderley,(51) 99777-7777,6," R$        616,58",Gustavo,
27/01/25,Completa,Ana Pereira Zanetti Rodrigues Lopes,(53) 99888-8888,12," R$   1.225,06",Fernanda,
27/01/25,Completa,Natália Yamada Ibrahim Vieira Gomes,(54) 99123-4567,12," R$   1.264,70",Gustavo,
27/01/25,Completa,Juliana Ferreira Nogueira Silva Rodrigues,(55) 99234-5678,6," R$        644,38",Gustavo,
28/01/25,Completa,Kleber Queiroz Yamada Oliveira,(61) 99345-6789,18," R$   1.813,01",Gustavo,
28/01/25,Completa,Larissa Pereira Dias Lopes,(62) 99456-7890,12," R$   1.242,47",Gustavo,
28/01/25,Completa,Thiago Farias Teixeira Gomes Silva,(63) 99567-8901,6," R$        617,00",Gustavo,
28/01/25,Completa,Rafael Costa Yamada Dias,(64) 99678-9012,6," R$        638,92",Gustavo,
29/01/25,Completa,Otávio Costa Queiroz Ferreira Nogueira Farias,(65) 99789-0123,12," R$   1.217,38",Gustavo,
30/01/25,Completa,Helena Teixeira Krause Costa Barros,(66) 99890-1234,6," R$        645,85",Gustavo,
30/01/25,Completa,Eduardo Almeida Souza Jardim Xavier Silva,(67) 99111-2222,6," R$        647,00",Fernanda,
31/01/25,Completa,Carlos Machado Dias Silva Farias,(68) 99222-3333,6," R$        611,45",Gustavo,
03/02/25,Completa,Ana Machado Nogueira Farias Dias,(11) 99123-0987,18," R$   1.810,91",Gustavo,
03/02/25,Completa,Patrícia Yamada Uchoa Queiroz Costa Zanetti,(21) 99234-7654,12," R$   1.210,53",Gustavo,
03/02/25,Completa,Thiago Lopes Yamada Oliveira Campos,(43) 99345-4321,6," R$        626,30",Gustavo,
04/02/25,Completa,Daniela Krause Farias Rodrigues,(51) 99456-1098,6," R$        635,32",Fernanda,
04/02/25,Completa,Juliana Farias Silva Xavier,(61) 99567-8765,18," R$   1.815,23",Gustavo,
04/02/25,Completa,Eduardo Ferreira Farias Almeida Silva,(71) 99678-5432,6," R$        613,05",Gustavo,
06/02/25,Completa,Daniela Jardim Farias Krause,(81) 99789-2109,12," R$   1.259,60",Fernanda,
07/02/25,Completa,Eduardo Queiroz Costa Nogueira Rodrigues Teixeira,(91) 99890-9876,12," R$   1.235,27",Gustavo,
10/02/25,Completa,Bruno Pereira Cardoso Queiroz Vieira Lopes,(11) 99111-4567,18," R$   1.816,54",Gustavo,
11/02/25,Completa,Marcos Esteves Gomes Yamada,(21) 99222-6789,18," R$   1.859,80",Gustavo,
11/02/25,Completa,Daniela Costa Wanderley Queiroz,(43) 99333-8901,18," R$   1.821,11",Gustavo,
13/02/25,Completa,Juliana Uchoa Souza Vieira Dias Teixeira,(51) 99444-1234,6," R$        621,95",Gustavo,
15/02/25,Completa,Fernanda Cardoso Jardim Barros,(61) 99555-2345,12," R$   1.231,59",Fernanda,
18/02/25,Completa,Igor Campos Pereira Oliveira Uchoa,(71) 99666-3456,12," R$   1.246,85",Gustavo,
18/02/25,Completa,Vanessa Henrique Yamada Campos Uchoa Vieira,(81) 99777-4567,6," R$        645,69",Gustavo,
18/02/25,Completa,Natália Henrique Xavier Ibrahim Farias,(91) 99888-5678,18," R$   1.844,40",Gustavo,
18/02/25,Completa,Otávio Rodrigues Cardoso Ibrahim,(12) 99123-9012,18," R$   1.829,80",Thiago,
19/02/25,Completa,Rafael Yamada Gomes Rodrigues Ferreira,(22) 99234-0123,18," R$   1.843,25",Gustavo,
19/02/25,Completa,Rafael Teixeira Pereira Rodrigues,(32) 99345-1234,6," R$        635,09",Gustavo,
19/02/25,Completa,Simone Souza Campos Almeida,(42) 99456-2345,6," R$        637,50",Fernanda,
21/02/25,Completa,Bruno Souza Pereira Lopes Dias Campos,(52) 99567-3456,6," R$        636,20",Gustavo,
21/02/25,Completa,Larissa Rodrigues Ibrahim Pereira Esteves Gomes,(62) 99678-4567,6," R$        630,74",Gustavo,
24/02/25,Completa,Eduardo Almeida Esteves Uchoa Oliveira Lopes,(72) 99789-5678,12," R$   1.228,60",Gustavo,
26/02/25,Completa,Ana Campos Queiroz Lopes,(82) 99890-6789,12," R$   1.222,83",Gustavo,
28/02/25,Completa,Kleber Lopes Ibrahim Henrique Esteves,(92) 99111-7890,12," R$   1.241,13",Gustavo,
06/03/25,Completa,Patrícia Jardim Campos Gomes Zanetti Machado,(13) 99222-8901,6," R$        642,00",Thiago,
07/03/25,Completa,Igor Lopes Barros Farias Wanderley Campos,(23) 99333-9012,6," R$        641,00",Fernanda,
07/03/25,Completa,Helena Yamada Almeida Ferreira Cardoso Lopes,(33) 99444-0123,12," R$   1.248,63",Fernanda,
08/03/25,Completa,Marcos Queiroz Campos Souza Oliveira Yamada,(43) 99555-1234,18," R$   1.844,21",Fernanda,
08/03/25,Completa,Daniela Ferreira Xavier Zanetti Farias,(53) 99666-2345,6," R$        638,40",Fernanda,
10/03/25,Completa,Igor Almeida Xavier Wanderley Gomes,(63) 99777-3456,18," R$   1.831,70",Gustavo,
10/03/25,Completa,Thiago Wanderley Souza Ibrahim Pereira,(73) 99888-4567,18," R$   1.815,78",Fernanda,
11/03/25,Completa,Ana Cardoso Wanderley Souza Xavier,(83) 99123-5678,18," R$   1.830,20",Thiago,
11/03/25,Completa,Helena Cardoso Queiroz Souza,(93) 99234-6789,6," R$        617,12",Thiago,
14/03/25,Completa,Vanessa Esteves Cardoso Jardim,(14) 99345-7890,6," R$        635,47",Rafael,
14/03/25,Completa,Kleber Farias Ibrahim Xavier,(24) 99456-8901,12," R$   1.241,22",Gustavo,
14/03/25,Completa,Helena Cardoso Ferreira Almeida Zanetti,(34) 99567-9012,12," R$   1.225,20",Thiago,
14/03/25,Completa,Thiago Souza Pereira Esteves,(44) 99678-0123,6," R$        644,38",Thiago,
14/03/25,Completa,Otávio Cardoso Rodrigues Esteves Lopes Krause,(54) 99789-1234,6," R$        611,88",Thiago,
14/03/25,Completa,Gabriel Oliveira Almeida Gomes,(64) 99890-2345,12," R$   1.231,30",Rafael,
14/03/25,Menor,Gabriel Uchoa Costa Almeida,(74) 99111-3456,6," R$        610,24",Rafael,
15/03/25,Completa,Kleber Henrique Rodrigues Esteves,(84) 99222-4567,18," R$   1.830,75",Thiago,
16/03/25,Completa,Eduardo Barros Xavier Queiroz,(94) 99333-5678,18," R$   1.841,27",Thiago,
18/03/25,Menor,Larissa Teixeira Oliveira Yamada,(15) 99444-6789,18," R$   1.839,07",Rafael,
18/03/25,Menor,Gabriel Oliveira Krause Xavier,(25) 99555-7890,6," R$        621,45",Rafael,
18/03/25,Menor,Otávio Henrique Lopes Queiroz,(35) 99666-8901,12," R$   1.265,20",Rafael,
18/03/25,Completa,Marcos Nogueira Lopes Souza Gomes Vieira,(45) 99777-9012,18," R$   1.844,95",Fernanda,
20/03/25,Completa,Igor Pereira Campos Uchoa,(55) 99888-0123,6," R$        611,30",Fernanda,
21/03/25,Completa,Vanessa Uchoa Teixeira Nogueira Oliveira Barros,(65) 99123-1234,18," R$   1.878,20",Fernanda,
21/03/25,Completa,Otávio Wanderley Silva Lopes Cardoso,(75) 99234-2345,18," R$   1.830,00",Fernanda,
22/03/25,Menor,Patrícia Gomes Vieira Almeida,(85) 99345-3456,18," R$   1.819,91",Rafael,
22/03/25,Menor,Simone Farias Oliveira Silva,(95) 99456-4567,6," R$        691,70",Rafael,
25/03/25,Menor,Otávio Jardim Almeida Silva Uchoa,(11) 99123-1111,6," R$        693,30",Thiago,
25/03/25,Menor,Ana Vieira Lopes Krause Dias Zanetti,(21) 99234-2222,18," R$   1.845,47",Thiago,
02/04/25,Menor,Vanessa Pereira Henrique Gomes,(43) 99345-3333,18," R$   1.818,22",Rafael,
02/04/25,Menor,Juliana Cardoso Jardim Vieira Oliveira,(51) 99456-4444,12," R$   1.233,34",Rafael,
03/04/25,Menor,Kleber Zanetti Ferreira Xavier Almeida Henrique,(61) 99567-5555,6," R$        695,10",Thiago,
05/04/25,Completa,Daniela Henrique Rodrigues Vieira Yamada Queiroz,(71) 99678-6666,18," R$   1.833,08",Thiago,
05/04/25,Completa,Simone Jardim Krause Almeida Gomes Oliveira,(81) 99789-7777,12," R$   1.244,39",Thiago,
06/04/25,Completa,Rafael Esteves Ibrahim Farias,(91) 99890-8888,18," R$   1.835,57",Thiago,
05/04/25,Completa,Igor Gomes Barros Xavier,(12) 99111-9999,18," R$   1.823,69",Thiago,
05/04/25,Completa,Carlos Costa Esteves Almeida Cardoso,(22) 99222-0000,18," R$   1.817,31",Thiago,
07/04/25,Completa,Rafael Queiroz Nogueira Dias Farias Esteves,(32) 99333-1111,12," R$   1.246,76",Fernanda,
08/04/25,Completa,Thiago Esteves Uchoa Henrique Almeida,(42) 99444-2222,6," R$        623,28",Leticia,
09/04/25,Completa,Thiago Rodrigues Henrique Silva,(52) 99555-3333,6," R$        643,96",Leticia,
10/04/25,Completa,Natália Henrique Silva Costa Farias,(62) 99666-4444,18," R$   1.889,70",Marcelo,
11/04/25,Completa,Daniela Queiroz Esteves Rodrigues Yamada Machado,(72) 99777-5555,12," R$   1.228,70",Thiago,
11/04/25,Completa,Helena Ferreira Farias Xavier,(82) 99888-6666,18," R$   1.892,80",Leticia,
14/04/25,Completa,Daniela Farias Barros Zanetti Queiroz Ferreira,(11) 99123-7777,6," R$        614,02",Fernanda,
15/04/25,Completa,Marcos Esteves Farias Queiroz Souza Vieira,(21) 99234-8888,6," R$        641,30",Leticia,
15/04/25,Completa,Thiago Uchoa Oliveira Cardoso Xavier,(43) 99345-9999,18," R$   1.822,19",Marcelo,
15/04/25,Completa,Bruno Jardim Krause Cardoso Wanderley,(51) 99456-0000,12," R$   1.214,93",Leticia,
16/04/25,Completa,Eduardo Krause Gomes Lopes,(61) 99567-1111,12," R$   1.224,88",Marcelo,
17/04/25,Completa,Marcos Krause Teixeira Farias Oliveira,(71) 99678-2222,6," R$        666,90",Rafael,
21/04/25,Completa,Thiago Cardoso Oliveira Dias Costa,(81) 99789-3333,18," R$   1.829,03",Rodrigo,
21/04/25,Completa,Thiago Zanetti Yamada Ferreira Xavier Esteves,(91) 99890-4444,18," R$   1.864,00",Leticia,
21/04/25,Completa,Marcos Teixeira Vieira Oliveira,(13) 99111-5555,12," R$   1.272,60",Rodrigo,
22/04/25,Completa,Igor Esteves Nogueira Cardoso Wanderley Jardim,(23) 99222-6666,12," R$   1.222,52",Leticia,
22/04/25,Completa,Carlos Barros Jardim Krause Vieira,(33) 99333-7777,12," R$   1.217,07",Leticia,
22/04/25,Completa,Thiago Vieira Cardoso Dias Farias,(43) 99444-8888,6," R$        614,34",Thiago,
22/04/25,Completa,Otávio Teixeira Esteves Gomes Henrique Uchoa,(53) 99555-9999,6," R$        618,33",Thiago,
24/04/25,Completa,Otávio Esteves Machado Ferreira Henrique,(63) 99666-0000,18," R$   1.854,30",Leticia,
24/04/25,Completa,Igor Gomes Cardoso Nogueira Farias Vieira,(73) 99777-1111,18," R$   1.815,92",Marcelo,
24/04/25,Completa,Helena Machado Barros Costa Pereira,(83) 99888-2222,18," R$   1.888,90",Rodrigo,
25/04/25,Completa,Patrícia Vieira Uchoa Rodrigues Wanderley Teixeira,(14) 99123-3333,12," R$   1.238,96",Leticia,
28/04/25,Completa,Gabriel Jardim Queiroz Krause,(24) 99234-4444,12," R$   1.214,30",Rodrigo,
28/04/25,Completa,Igor Jardim Farias Cardoso Vieira Xavier,(34) 99345-5555,12," R$   1.243,10",Leticia,
29/04/25,Completa,Simone Souza Costa Lopes Teixeira,(44) 99456-6666,18," R$   1.845,86",Thiago,
29/04/25,Completa,Juliana Barros Farias Costa Ferreira Xavier,(54) 99567-7777,6," R$        612,40",Leticia,
30/04/25,Completa,Vanessa Vieira Rodrigues Barros Nogueira Farias,(64) 99678-8888,12," R$   1.225,62",Rodrigo,
30/04/25,Completa,Larissa Silva Lopes Rodrigues,(74) 99789-9999,6," R$        627,75",Rodrigo,
30/04/25,Completa,Rafael Rodrigues Vieira Henrique,(84) 99890-0000,18," R$   1.841,90",Marcelo,
30/04/25,Completa,Gabriel Rodrigues Yamada Nogueira Almeida Xavier,(11) 99123-2468,18," R$   1.839,90",Leticia,
30/04/25,Completa,Otávio Jardim Teixeira Ferreira Oliveira Wanderley,(21) 99234-1357,18," R$   1.830,50",Marcelo,
30/04/25,Completa,Carlos Costa Pereira Jardim,(43) 99345-9821,18," R$   1.848,71",Marcelo,
30/04/25,Completa,Helena Dias Campos Ibrahim Queiroz,(51) 99456-7531,18," R$   1.825,70",Leticia,
30/04/25,Completa,Natália Xavier Gomes Ferreira,(61) 99567-4689,12," R$   1.226,48",Rodrigo,
30/04/25,Completa,Carlos Campos Pereira Teixeira Jardim,(71) 99678-2198,18," R$   1.822,46",Rodrigo,
02/05/25,Completa,Simone Farias Almeida Rodrigues Wanderley Uchoa,(81) 99789-6543,12," R$   1.225,64",Rafael,
05/05/25,Completa,Gabriel Pereira Zanetti Machado,(91) 99890-9823,18," R$   1.843,38",Leticia,
06/05/25,Completa,Juliana Machado Almeida Silva Gomes Cardoso,(12) 99111-7532,12," R$   1.217,32",Leticia,
06/05/25,Completa,Marcos Ferreira Costa Ibrahim Queiroz,(22) 99222-4681,6," R$        618,58",Leticia,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
